Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 28316_Rep1	Peptides 28316_Rep2	Peptides 28316_Rep3	Peptides 28317_Rep1	Peptides 28317_Rep2	Peptides 28317_Rep3	Peptides No_tag_Rep1	Razor + unique peptides 28316_Rep1	Razor + unique peptides 28316_Rep2	Razor + unique peptides 28316_Rep3	Razor + unique peptides 28317_Rep1	Razor + unique peptides 28317_Rep2	Razor + unique peptides 28317_Rep3	Razor + unique peptides No_tag_Rep1	Unique peptides 28316_Rep1	Unique peptides 28316_Rep2	Unique peptides 28316_Rep3	Unique peptides 28317_Rep1	Unique peptides 28317_Rep2	Unique peptides 28317_Rep3	Unique peptides No_tag_Rep1	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type 28316_Rep1	Identification type 28316_Rep2	Identification type 28316_Rep3	Identification type 28317_Rep1	Identification type 28317_Rep2	Identification type 28317_Rep3	Identification type No_tag_Rep1	Sequence coverage 28316_Rep1 [%]	Sequence coverage 28316_Rep2 [%]	Sequence coverage 28316_Rep3 [%]	Sequence coverage 28317_Rep1 [%]	Sequence coverage 28317_Rep2 [%]	Sequence coverage 28317_Rep3 [%]	Sequence coverage No_tag_Rep1 [%]	Intensity	Intensity 28316_Rep1	Intensity 28316_Rep2	Intensity 28316_Rep3	Intensity 28317_Rep1	Intensity 28317_Rep2	Intensity 28317_Rep3	Intensity No_tag_Rep1	iBAQ	iBAQ 28316_Rep1	iBAQ 28316_Rep2	iBAQ 28316_Rep3	iBAQ 28317_Rep1	iBAQ 28317_Rep2	iBAQ 28317_Rep3	iBAQ No_tag_Rep1	LFQ intensity 28316_Rep1	LFQ intensity 28316_Rep2	LFQ intensity 28316_Rep3	LFQ intensity 28317_Rep1	LFQ intensity 28317_Rep2	LFQ intensity 28317_Rep3	LFQ intensity No_tag_Rep1	MS/MS count 28316_Rep1	MS/MS count 28316_Rep2	MS/MS count 28316_Rep3	MS/MS count 28317_Rep1	MS/MS count 28317_Rep2	MS/MS count 28317_Rep3	MS/MS count No_tag_Rep1	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
YBR088C	YBR088C	9	9	9	sp|YBR088C|POL30_YEAST NCSL01000019.1 3707-4483 ORF Verified Proliferating cell nuclear antigen (PCNA); functions as the sliding replication clamp for DNA polymerase delta; may function as a docking site for other proteins required for mitotic and meiotic 	1	9	9	9	8	6	4	1	4	5	3	8	6	4	1	4	5	3	8	6	4	1	4	5	3	40.7	40.7	40.7	28.916	258	258	0	97.24	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	40.3	25.6	17.8	5.4	17.8	25.2	15.9	34781000	20706000	2787800	4877300	0	2944700	2969200	495900	2045900	1218000	163990	286900	0	173220	174660	29171	2510200	854220	1261800	0	919420	1351600	564820	9	5	5	1	5	6	3	34				200	1868;2386;3568;3569;5729;7652;8342;8833;11846	True;True;True;True;True;True;True;True;True	1976;2532;3783;3784;6062;8094;8095;8821;8822;9343;12613	7236;9106;9107;9108;9109;9110;9111;9112;13606;13607;13608;13609;13610;13611;21607;21608;21609;28465;28466;28467;30913;30914;32743;32744;32745;32746;32747;32748;32749;43862;43863;43864;43865;43866;43867	6446;8125;8126;8127;8128;8129;8130;8131;8132;12049;12050;12051;12052;12053;12054;19020;24966;24967;24968;27121;27122;28731;28732;28733;28734;28735;28736;28737;28738;38601;38602;38603;38604;38605	6446;8126;12049;12054;19020;24968;27121;28736;38601	207;208;209	119;161;199
YBR089C-A	YBR089C-A	1	1	1	sp|YBR089C-A|NHP6B_YEAST NCSL01000019.1 2985-3284 ORF Verified High-mobility group (HMG) protein; binds to and remodels nucleosomes; involved in recruiting FACT and other chromatin remodelling complexes to the chromosomes; functionally redundant with Nhp6A	1	1	1	1	1	0	0	1	1	0	1	1	0	0	1	1	0	1	1	0	0	1	1	0	1	13.1	13.1	13.1	11.448	99	99	0	2.2915	By MS/MS			By MS/MS	By matching		By matching	13.1	0	0	13.1	13.1	0	13.1	2739900	1817400	0	0	210880	584080	0	127550	684980	454350	0	0	52721	146020	0	31888	0	0	0	0	0	0	127550	1	0	0	1	0	0	0	2				201	11714	True	12477	43403;43404;43405;43406	38190;38191	38190		
YBR094W	YBR094W	5	5	5	sp|YBR094W|PBY1_YEAST NCSL01000025.1 2275-4536 ORF Verified Putative tubulin tyrosine ligase associated with P-bodies; may have a role in mRNA metabolism; yeast knockout collection strain identified as a pby1 null mutant is actually wild-type for PBY1 and 	1	5	5	5	5	0	0	0	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0	9.7	9.7	9.7	86.338	753	753	0	5.3086	By MS/MS							9.7	0	0	0	0	0	0	1910900	1910900	0	0	0	0	0	0	50286	50286	0	0	0	0	0	0	260860	0	0	0	0	0	0	5	0	0	0	0	0	0	5				202	8167;9975;10037;13184;14186	True;True;True;True;True	8635;10636;10700;14028;15097	30310;36983;37190;48847;53070	26618;32427;32602;43019;46729	26618;32427;32602;43019;46729		
YBR095C	YBR095C	3	3	3	sp|YBR095C|RXT2_YEAST NCSL01000025.1 4643-5935 ORF Verified Component of the histone deacetylase Rpd3L complex; possibly involved in cell fusion and invasive growth; relocalizes to the cytosol in response to hypoxia GN=RXT2 PE=1 SV=1	1	3	3	3	3	0	0	0	1	0	0	3	0	0	0	1	0	0	3	0	0	0	1	0	0	8.6	8.6	8.6	48.598	430	430	0.0011261	1.9971	By MS/MS				By matching			8.6	0	0	0	3	0	0	1614500	1326200	0	0	0	288330	0	0	94973	78012	0	0	0	16961	0	0	181050	0	0	0	0	0	0	3	0	0	0	0	0	0	3				203	5101;8080;10990	True;True;True	5400;8545;11711	19264;30069;30070;40982	16937;26405;36079	16937;26405;36079		
YBR096W	YBR096W	2	2	2	sp|YBR096W|dubious58_YEAST NCSL01000025.1 6258-6950 ORF Uncharacterized Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the ER GN=dubious58 PE=1 SV=1	1	2	2	2	2	0	0	0	0	0	1	2	0	0	0	0	0	1	2	0	0	0	0	0	1	10	10	10	27.092	230	230	0	3.1525	By MS/MS						By MS/MS	10	0	0	0	0	0	3	1473800	1275000	0	0	0	0	0	198830	113370	98073	0	0	0	0	0	15294	174050	0	0	0	0	0	0	2	0	0	0	0	0	1	3				204	5494;6513	True;True	5816;6889	20832;24342;24343	18297;21414;21415	18297;21414		
YBR101C	YBR101C	2	2	2	sp|YBR101C|FES1_YEAST NCSL01000025.1 14057-14929 ORF Verified Hsp70 (Ssa1p) nucleotide exchange factor; required for the release of misfolded proteins from the Hsp70 system to the Ub-proteasome machinery for destruction; cytosolic homolog of Sil1p, which i	1	2	2	2	2	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	7.9	7.9	7.9	32.638	290	290	0	4.1993	By MS/MS							7.9	0	0	0	0	0	0	897990	897990	0	0	0	0	0	0	56124	56124	0	0	0	0	0	0	122590	0	0	0	0	0	0	2	0	0	0	0	0	0	2				205	436;5628	True;True	463;5958	1829;21291	1598;18720	1598;18720		
YBR106W	YBR106W	12	12	12	sp|YBR106W|PHO88_YEAST NCSL01000025.1 22896-23462 ORF Verified Probable membrane protein; involved in phosphate transport; role in the maturation of secretory proteins; pho88 pho86 double null mutant exhibits enhanced synthesis of repressible acid phosphat	1	12	12	12	12	4	4	1	3	2	6	12	4	4	1	3	2	6	12	4	4	1	3	2	6	59	59	59	21.137	188	188	0	21.068	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	59	23.4	23.4	7.4	16	8.5	34.6	45311000	33068000	2138600	2482500	110740	1814400	683500	5013200	3236500	2362000	152760	177320	7910.3	129600	48822	358080	3310300	661670	792620	0	388340	530400	4817400	21	1	4	1	1	1	9	38				206	876;5657;5943;8677;9407;10222;11329;11493;11960;16092;16128;16129	True;True;True;True;True;True;True;True;True;True;True;True	941;942;5988;6280;9181;10011;10901;12069;12239;12729;17105;17106;17142;17143;17144;17145	3544;3545;3546;3547;3548;3549;21359;22351;32210;32211;32212;32213;32214;32215;34887;38030;42041;42447;42448;42449;42450;42451;42452;44307;44308;60236;60237;60238;60239;60240;60241;60242;60369;60370;60371;60372;60373;60374;60375;60376;60377;60378	3120;3121;3122;3123;3124;3125;18785;18786;19665;28275;30589;33385;36957;37336;37337;37338;37339;37340;37341;38985;38986;52937;52938;52939;52940;52941;52942;52943;52944;52945;53064;53065;53066;53067;53068;53069;53070;53071	3121;18786;19665;28275;30589;33385;36957;37337;38986;52945;53065;53071	210;211;212;213;214;215;216;217;218	1;11;14;15;23;30;72;121;162
YBR111C	YBR111C	4	4	4	sp|YBR111C|YSA1_YEAST NCSL01000025.1 31536-32231 ORF Verified Nudix hydrolase family member with ADP-ribose pyrophosphatase activity; shown to metabolize O-acetyl-ADP-ribose to AMP and acetylated ribose 5-phosphate GN=YSA1 PE=1 SV=1	1	4	4	4	4	1	1	0	1	1	3	4	1	1	0	1	1	3	4	1	1	0	1	1	3	19.5	19.5	19.5	26.1	231	231	0	5.5414	By MS/MS	By matching	By MS/MS		By MS/MS	By MS/MS	By MS/MS	19.5	6.5	6.5	0	6.5	6.5	14.7	5539700	3112000	358330	707020	0	509200	370060	483150	553970	311200	35833	70702	0	50920	37006	48315	386390	0	0	0	0	0	521590	4	0	1	0	1	2	2	10				207	2851;7563;12612;15020	True;True;True;True	3020;7998;13431;15975	11022;27947;27948;46840;46841;46842;46843;46844;46845;46846;56265;56266	9833;24492;41273;41274;41275;41276;41277;41278;49538;49539	9833;24492;41275;49539	219	224
YBR112C	YBR112C	8	8	8	sp|YBR112C|CYC8_YEAST NCSL01000025.1 33230-35986 ORF Verified General transcriptional co-repressor; acts together with Tup1p; also acts as part of a transcriptional co-activator complex that recruits the SWI/SNF and SAGA complexes to promoters; can form th	1	8	8	8	7	0	0	0	1	0	1	7	0	0	0	1	0	1	7	0	0	0	1	0	1	12.7	12.7	12.7	101.95	918	918	0	14.082	By MS/MS				By MS/MS		By MS/MS	11.7	0	0	0	1.1	0	1.1	3060300	3060300	0	0	0	0	0	0	90009	90009	0	0	0	0	0	0	417780	0	0	0	0	0	0	9	0	0	0	1	0	1	11				208	726;1317;9084;10924;11754;13201;14697;15761	True;True;True;True;True;True;True;True	771;1400;9602;11643;12518;14046;15642;16765	2947;5327;33637;40760;40761;43514;48908;55014;59120	2579;4731;29474;29475;35865;35866;38293;43065;43066;48462;51995	2579;4731;29475;35866;38293;43066;48462;51995		
YBR115C	YBR115C	8	8	8	sp|YBR115C|LYS2_YEAST NCSL01000025.1 39962-44140 ORF Verified Alpha aminoadipate reductase; catalyzes the reduction of alpha-aminoadipate to alpha-aminoadipate 6-semialdehyde, which is the fifth step in biosynthesis of lysine; activation requires posttrans	1	8	8	8	5	2	1	0	1	0	5	5	2	1	0	1	0	5	5	2	1	0	1	0	5	7.8	7.8	7.8	155.28	1392	1392	0	8.7374	By MS/MS	By MS/MS	By matching		By matching		By MS/MS	5.8	1.7	0.5	0	0.5	0	3.4	6923500	2575900	658690	608650	0	1609300	0	1470900	83416	31035	7936.1	7333.1	0	19390	0	17721	351660	0	0	0	0	0	0	6	1	0	0	0	0	5	12				209	1253;3384;3982;6777;9024;11817;12611;13379	True;True;True;True;True;True;True;True	1333;3584;4208;7166;9541;12584;13430;14236	5131;12925;12926;12927;15062;15063;15064;25321;33440;33441;43720;43721;46838;46839;49586	4544;11472;11473;11474;13317;22260;29311;38466;38467;41271;41272;43666	4544;11473;13317;22260;29311;38467;41271;43666		
YBR121C	YBR121C	23	23	23	sp|YBR121C|GRS1_YEAST NCSL01000025.1 50768-52771 ORF Verified Cytoplasmic and mitochondrial glycyl-tRNA synthase; ligates glycine to the cognate anticodon-bearing tRNA; transcription termination factor that may interact with the 3-end of pre-mRNA to promo	1	23	23	23	22	12	10	4	12	12	16	22	12	10	4	12	12	16	22	12	10	4	12	12	16	44.2	44.2	44.2	75.396	667	667	0	179.59	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	42.7	23.8	21.1	8.2	24.9	25.3	29.4	109200000	60126000	11575000	10100000	324730	11028000	10474000	5577600	2730100	1503100	289380	252490	8118.2	275700	261860	139440	6115700	4179500	3989500	1809200	3260300	4189700	5110000	31	5	10	1	9	8	10	74				210	138;285;1736;1885;2177;3419;4748;4988;5198;5624;5637;7502;8159;9502;9643;11555;12916;13713;14198;14317;14762;15449;15601	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	141;302;1833;1995;2310;3626;5012;5274;5503;5954;5967;5968;7932;8627;10135;10136;10284;12305;13751;14591;15111;15239;15240;15708;16429;16593	548;549;550;551;552;1250;6794;6795;6796;6797;6798;7289;7290;8290;8291;8292;8293;8294;8295;13050;13051;13052;13053;13054;13055;13056;17871;17872;17873;17874;17875;18809;18810;18811;19723;19724;19725;19726;19727;21280;21281;21282;21283;21284;21285;21314;21315;21316;21317;27785;30273;30274;30275;35346;35347;35348;35842;35843;35844;35845;35846;42702;42703;42704;42705;42706;42707;42708;42709;47922;47923;47924;47925;47926;47927;50881;50882;53114;53115;53116;53117;53118;53119;53120;53586;53587;53588;53589;53590;53591;53592;53593;55284;57899;57900;58539;58540;58541;58542;58543;58544;58545;58546	464;465;466;467;1091;1092;6057;6058;6059;6492;7387;7388;7389;7390;11576;11577;11578;11579;11580;15682;15683;15684;16518;16519;17335;17336;17337;17338;17339;17340;17341;17342;18709;18710;18711;18712;18713;18741;18742;18743;24357;26582;26583;30969;30970;30971;31421;31422;31423;31424;37559;37560;37561;42208;42209;42210;42211;44775;44776;46763;46764;46765;46766;47204;47205;47206;48683;50908;51465;51466;51467;51468;51469;51470;51471;51472	466;1092;6058;6492;7387;11577;15683;16519;17335;18709;18742;24357;26583;30970;31423;37561;42210;44775;46764;47206;48683;50908;51470	220;221;222;223	187;210;330;452
YBR125C	YBR125C	3	3	3	sp|YBR125C|PTC4_YEAST NCSL01000025.1 56616-57797 ORF Verified Cytoplasmic type 2C protein phosphatase (PP2C); identified as a high-copy number suppressor of cnb1 mpk1 synthetic lethality; overexpression decreases high-osmolarity induced Hog1p phosphorylati	1	3	3	3	3	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	9.7	9.7	9.7	44.175	393	393	0	2.8415	By MS/MS							9.7	0	0	0	0	0	0	1965400	1965400	0	0	0	0	0	0	78617	78617	0	0	0	0	0	0	268310	0	0	0	0	0	0	2	0	0	0	0	0	0	2				211	1420;6283;11798	True;True;True	1505;6645;12564	5656;23590;43658	5040;20765;38419	5040;20765;38419		
YBR126C	YBR126C	17	17	17	sp|YBR126C|TPS1_YEAST NCSL01000025.1 58322-59809 ORF Verified Synthase subunit of trehalose-6-P synthase/phosphatase complex; synthesizes the storage carbohydrate trehalose, which is critically important for survival of long-term desiccation; also found in	1	17	17	17	15	11	10	3	9	11	5	15	11	10	3	9	11	5	15	11	10	3	9	11	5	50.3	50.3	50.3	56.147	495	495	0	159.91	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	45.7	37	32.1	7.5	29.7	34.1	12.7	105240000	45989000	15935000	17608000	347380	13158000	9477900	2725300	5262100	2299500	796750	880410	17369	657910	473890	136270	5312000	4013200	4629800	2556500	3536700	3907000	4188300	18	12	10	3	10	8	6	67				212	937;4168;4169;4170;4358;5114;6061;6203;6308;7903;10330;12029;12962;14492;14771;15311;16100	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1005;4396;4397;4398;4606;5413;6407;6560;6671;8357;11013;11014;12802;13800;15428;15717;16284;17114	3789;3790;3791;3792;3793;3794;3795;3796;3797;15712;15713;15714;15715;15716;15717;15718;16410;16411;16412;16413;16414;19329;19330;19331;19332;19333;22823;22824;23323;23661;29324;38439;38440;38441;44532;44533;44534;48067;48068;48069;48070;48071;48072;48073;54297;54298;54299;54300;54301;55314;55315;55316;55317;55318;55319;57358;57359;57360;57361;57362;57363;57364;60270;60271;60272;60273;60274	3340;3341;3342;3343;3344;3345;3346;3347;3348;13864;13865;13866;13867;13868;13869;13870;14426;14427;14428;14429;14430;16994;16995;16996;16997;16998;20071;20072;20517;20825;25735;33775;33776;33777;39188;42321;42322;42323;42324;42325;42326;42327;47852;47853;47854;47855;47856;47857;48713;48714;48715;48716;48717;48718;48719;50468;50469;50470;50471;50472;50473;50474;52978;52979;52980;52981;52982;52983	3347;13864;13866;13868;14430;16994;20071;20517;20825;25735;33775;39188;42325;47852;48714;50471;52979	224	42
YBR127C	YBR127C	31	31	31	sp|YBR127C|VMA2_YEAST NCSL01000025.1 60742-62295 ORF Verified Subunit B of V1 peripheral membrane domain of vacuolar H+-ATPase; electrogenic proton pump found throughout the endomembrane system; contains nucleotide binding sites; also detected in the cytop	1	31	31	31	29	17	16	10	21	18	18	29	17	16	10	21	18	18	29	17	16	10	21	18	18	76.2	76.2	76.2	57.749	517	517	0	317.81	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	73.5	49.7	48.2	25.9	52.4	49.7	42.7	248470000	109150000	28320000	35333000	1591600	49304000	18535000	6236200	8567800	3763700	976560	1218400	54882	1700100	639120	215040	10086000	9837400	9894400	8353400	12766000	10750000	4719600	38	14	10	4	21	14	15	116				213	550;551;961;1192;1268;1469;1486;4631;5206;5473;5804;6103;6386;6864;6930;7237;7396;8497;9829;10692;10822;11489;13281;13834;13945;13946;13980;14333;14806;14807;15949	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	583;584;1029;1270;1349;1558;1575;4891;5513;5514;5794;5795;6138;6450;6753;7255;7256;7257;7325;7651;7821;8990;10480;10481;11397;11537;12235;14131;14718;14836;14837;14873;15257;15753;15754;16957	2297;2298;2299;2300;2301;2302;2303;2304;2305;2306;3908;3909;3910;3911;3912;4885;4886;4887;4888;4889;4890;4891;4892;4893;5178;5179;5180;5181;5824;5825;5880;5881;17458;17459;17460;17461;17462;17463;17464;19751;19752;19753;19754;19755;20749;20750;20751;20752;20753;21852;23004;23005;23006;23007;23008;23009;23010;23890;23891;23892;23893;23894;25645;25646;25647;25648;25875;25876;25877;25878;25879;26845;27460;27461;27462;27463;27464;27465;27466;27467;31515;31516;31517;31518;31519;31520;31521;31522;31523;31524;31525;31526;31527;36432;36433;36434;36435;36436;36437;39945;39946;39947;39948;39949;39950;40355;40356;40357;40358;40359;42440;42441;49212;49213;49214;51280;51281;51282;51283;51284;51285;51286;51703;51704;51705;51706;51707;51708;51709;51875;51876;51877;51878;51879;51880;53681;53682;53683;53684;53685;53686;53687;53688;55426;55427;55428;55429;55430;55431;59754;59755;59756;59757;59758;59759;59760;59761;59762	2009;2010;2011;2012;2013;2014;2015;2016;3438;3439;3440;3441;4316;4317;4318;4319;4320;4583;4584;4585;4586;5200;5250;5251;15327;15328;17372;17373;17374;18233;18234;18235;19245;20241;20242;20243;20244;20245;21027;21028;21029;21030;21031;22536;22537;22538;22736;22737;22738;22739;23544;24067;24068;24069;24070;24071;24072;24073;27663;27664;27665;27666;27667;27668;27669;27670;31961;31962;31963;31964;35146;35147;35148;35149;35150;35151;35506;37330;37331;43333;43334;45130;45131;45132;45133;45134;45135;45136;45477;45478;45479;45480;45481;45482;45483;45647;45648;45649;45650;45651;45652;45653;45654;45655;47283;47284;47285;47286;47287;47288;48808;48809;48810;52537;52538;52539;52540;52541;52542;52543	2010;2013;3439;4316;4585;5200;5250;15327;17374;18233;19245;20241;21028;22536;22737;23544;24067;27669;31961;35148;35506;37331;43333;45132;45480;45483;45655;47286;48808;48810;52537	225;226;227;228;229;230;231	108;150;161;281;308;337;391
YBR137W	YBR137W	2	2	2	sp|YBR137W|dubious67_YEAST NCSL01000025.1 82557-83096 ORF Verified Protein with a role in ER delivery of tail-anchored membrane proteins; interacts with Sgt2p; binds to the TRC complex, which inserts proteins into the ER membrane; interacts with Msn5p kary	1	2	2	2	2	1	1	0	1	0	0	2	1	1	0	1	0	0	2	1	1	0	1	0	0	17.9	17.9	17.9	20.454	179	179	0	6.5875	By MS/MS	By matching	By matching		By matching			17.9	8.4	8.4	0	8.4	0	0	3789700	2774100	139030	496980	0	379610	0	0	473720	346760	17378	62122	0	47451	0	0	378710	0	0	0	0	0	0	4	0	0	0	0	0	0	4				214	3371;14031	True;True	3571;14928	12879;12880;12881;12882;12883;52186	11436;11437;45953;45954	11437;45954		
YBR139W	YBR139W	1	1	1	sp|YBR139W|dubious69_YEAST NCSL01000025.1 85177-86703 ORF Verified Putative serine type carboxypeptidase; role in phytochelatin synthesis; green fluorescent protein (GFP)-fusion protein localizes to the vacuole; expression induced by nitrogen limitation in	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1	2	2	2	57.698	508	508	0.004509	1.3053	By MS/MS	By matching			By MS/MS	By matching	By MS/MS	2	2	0	0	2	2	2	1876300	784520	271520	0	0	319970	175480	324800	104240	43585	15084	0	0	17776	9748.8	18044	0	0	0	0	0	0	324800	1	0	0	0	1	0	1	3				215	3191	True	3387	12254;12255;12256;12257;12258	10885;10886;10887	10886		
YBR142W	YBR142W	2	2	2	sp|YBR142W|MAK5_YEAST NCSL01000025.1 97829-100159 ORF Verified Essential nucleolar protein; putative DEAD-box RNA helicase required for maintenance of M1 dsRNA virus; involved in biogenesis of large (60S) ribosomal subunits GN=MAK5 PE=1 SV=1	1	2	2	2	2	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	3.9	3.9	3.9	87.406	776	776	0	2.6356	By MS/MS							3.9	0	0	0	0	0	0	1255500	1255500	0	0	0	0	0	0	33932	33932	0	0	0	0	0	0	171390	0	0	0	0	0	0	1	0	0	0	0	0	0	1				216	7368;15615	True;True	7791;16610	27317;58594	23943;51523	23943;51523		
YBR143C	YBR143C	21	21	21	sp|YBR143C|SUP45_YEAST NCSL01000025.1 100391-101704 ORF Verified Polypeptide release factor (eRF1) in translation termination; mutant form acts as a recessive omnipotent suppressor; methylated by Mtq2p-Trm112p in ternary complex eRF1-eRF3-GTP; mutation of 	1	21	21	21	19	6	4	1	4	5	11	19	6	4	1	4	5	11	19	6	4	1	4	5	11	48.3	48.3	48.3	49.005	437	437	0	44.258	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	45.8	13	10.3	3	9.8	12.4	22.4	50987000	33859000	3638900	4025700	114370	4721500	1057100	3570300	1821000	1209300	129960	143780	4084.7	168620	37755	127510	4156200	1374300	1095400	0	1152100	842630	3300800	21	3	3	0	3	4	8	42				217	591;1077;1408;3441;3500;4691;4882;7112;7242;8069;8865;9101;9191;9254;9255;9388;9749;12600;14090;14091;16083	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	629;1149;1493;3648;3712;4951;5159;7521;7656;8531;9376;9619;9711;9793;9794;9982;10398;13418;13419;14989;14990;17096	2445;2446;2447;2448;2449;2450;4380;5620;5621;13141;13142;13143;13393;13394;17656;17657;17658;18341;18342;26485;26853;29974;29975;29976;29977;29978;32874;32875;32876;32877;32878;32879;33681;33682;33683;33989;33990;34175;34176;34177;34778;34779;36180;36181;36182;36183;46821;46822;52385;52386;52387;52388;60206;60207	2141;2142;2143;2144;3856;5007;5008;11655;11865;15493;15494;16102;16103;23250;23551;26326;26327;26328;26329;26330;26331;28847;28848;28849;28850;28851;29505;29506;29762;29763;29935;29936;30497;30498;31750;31751;31752;41254;41255;46138;46139;46140;52913	2141;3856;5007;11655;11865;15493;16103;23250;23551;26326;28849;29506;29762;29935;29936;30498;31750;41254;46139;46140;52913	232;233;234	48;361;407
YBR145W	YBR145W	3	2	2	sp|YBR145W|ADH5_YEAST NCSL01000025.1 103290-104345 ORF Verified Alcohol dehydrogenase isoenzyme V; involved in ethanol production; ADH5 has a paralog, ADH1, that arose from the whole genome duplication GN=ADH5 PE=1 SV=1	1	3	2	2	3	1	1	1	2	1	1	2	0	0	0	1	0	0	2	0	0	0	1	0	0	14	11.7	11.7	37.724	351	351	0.0082604	1.1099	By MS/MS	By matching	By matching	By matching	By MS/MS	By matching	By matching	14	2.3	2.3	2.3	9.1	2.3	2.3	348360	348360	0	0	0	0	0	0	21772	21772	0	0	0	0	0	0	47556	0	0	0	0	0	0	1	0	0	0	2	0	0	3				218	1114;2311;12435	True;False;True	1188;2454;13240	4493;4494;4495;8801;8802;8803;8804;8805;8806;8807;8808;8809;8810;8811;8812;8813;8814;8815;8816;8817;8818;8819;8820;8821;8822;8823;8824;8825;46107	3958;3959;3960;7841;7842;7843;7844;7845;7846;7847;7848;7849;7850;7851;7852;7853;7854;7855;7856;7857;7858;7859;7860;7861;7862;7863;7864;7865;7866;40606	3959;7846;40606		
YBR146W	YBR146W	2	2	2	sp|YBR146W|MRPS9_YEAST NCSL01000025.1 104786-105622 ORF Verified Mitochondrial ribosomal protein of the small subunit GN=MRPS9 PE=1 SV=1	1	2	2	2	2	0	0	0	0	0	1	2	0	0	0	0	0	1	2	0	0	0	0	0	1	8.3	8.3	8.3	31.953	278	278	0	24.035	By MS/MS						By MS/MS	8.3	0	0	0	0	0	4.7	838810	838810	0	0	0	0	0	0	59915	59915	0	0	0	0	0	0	114510	0	0	0	0	0	0	2	0	0	0	0	0	1	3				219	741;8559	True;True	786;9058	2991;31849;31850	2625;27964;27965	2625;27965		
YBR148W	YBR148W	3	3	3	sp|YBR148W|YSW1_YEAST NCSL01000025.1 107435-109264 ORF Verified Protein required for normal prospore membrane formation; interacts with Gip1p, which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spor	1	3	3	3	1	0	0	0	0	0	2	1	0	0	0	0	0	2	1	0	0	0	0	0	2	7.1	7.1	7.1	70.209	609	609	0	3.5407	By MS/MS						By MS/MS	1.8	0	0	0	0	0	5.3	726580	254950	0	0	0	0	0	471630	25949	9105.5	0	0	0	0	0	16844	0	0	0	0	0	0	471630	1	0	0	0	0	0	2	3				220	4048;13664;16087	True;True;True	4275;14541;17100	15273;50741;60224	13504;44658;52928	13504;44658;52928		
